employment_situation;willing2work;Ppl_willing2hire;pctg_ppl_willing2hire
Estudiante;Sí;41;41,41414141
Estudiante;No;58;58,58585859
Encargado/a del hogar;Sí;2;50
Encargado/a del hogar;No;2;50
Empleado/a;Sí;26;42,55319149
Empleado/a;No;27;57,44680851
Desempleado/a de corta duración;Sí;1;11,11111111
Desempleado/a de corta duración;No;8;88,88888889
Desempleado de larga duración (2 años);Sí;0;0
Desempleado de larga duración (2 años);No;6;100
Jubilado/a;Sí;2;33,33333333
Jubilado/a;No;4;66,66666667
