earnings;willing2hiree_earnings;ppl_willing2hire_earnings;pctg_of_ppl_willing2hire_earnings
0€-1.000€;Sí;37;38,54166667
0€-1.000€;No;59;61,45833333
1.000€-10.000€;Sí;10;27,77777778
1.000€-10.000€;No;26;72,22222222
10.000€-20.000€;Sí;9;47,36842105
10.000€-20.000€;No;10;52,63157895
20.000€-30.000€;Sí;2;50
20.000€-30.000€;No;2;50
30.000€-40.000€;Sí;4;57,14285714
30.000€-40.000€;No;3;42,85714286
40.000€-50.000€;Sí;2;50
40.000€-50.000€;No;2;50
50.000€-60.000€;Sí;1;50
50.000€-60.000€;No;1;50
60.000€-100.000€;Sí;1;50
60.000€-100.000€;No;1;50
100.000 €;Sí;0;0
100.000 €;No;1;100
