trimester;thousands_of_euros ;MM4;MM4,2;MM4,2_index;Year;
T1_14;19950,3;;;;2014;21894,6
T2_14;20981,8;;;;2015;28417,625
T3_14;21135,1;21894,6;22566,24;1;2016;36379,95
T4_14;25511,2;23237,88;24029,96;2;2017;45813
T1_15;25323,4;24822,05;25681,59;3;2018;57211,5
T2_15;27318,5;26541,13;27479,38;4;2019;70734,98
T3_15;28011,4;28417,63;29313,64;5;2020;76730,8225
T4_15;33017,2;30209,65;31163,43;6;;
T1_16;32491,5;32117,2;33054,51;7;;
T2_16;34948,7;33991,83;35185,89;8;;
T3_16;35509,9;36379,95;37737,75;9;;
T4_16;42569,7;39095,55;40096,15;10;;
T1_17;43353,9;41096,75;42126,16;11;;
T2_17;42953,5;43155,58;44484,29;12;;
T3_17;43745,2;45813;47153,13;13;;
T4_17;53199,4;48493,25;49641,14;14;;
T1_18;54074,9;50789,03;52114,06;15;;
T2_18;52136,6;53439,1;55325,3;16;;
T3_18;54345,5;57211,5;58933,8;17;;
T4_18;68289;60656,1;62802,54;18;;
T1_19;67853,29;64948,99;66420,39;19;;
T2_19;69308,16;67891,79;69313,38;20;;
T3_19;66116,69;70734,98;71426,23;21;;
T4_19;79661,78;72117,48;71646,26;22;;
T1_20;73383,3;71175,03;72973,56;23;;
T2_20;65538,35;74772,1;75751,46;24;;
T3_20;80504,95;76730,82;;;;
T4_20;87496,69;;;;;
